ID,YEAR,COUNTRY,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE
1,-2000,SYRIA,35.683,35.8,7.03
3,-1610,GREECE,36.4,25.4,7.03
4,-1365,SYRIA,35.683,35.8,7.03
5,-1300,TURKEY,39.96,26.24,6.0
7,-590,LEBANON,33.27,35.22,7.03
8,-525,LEBANON,33.56,35.37,7.03
3469,-480,GREECE,37.9,23.5,7.03
9,-479,GREECE,39.7,23.3,7.0
10,-426,GREECE,38.9,22.7,7.1
11,-373,GREECE,38.25,22.25,7.3
12,-330,GREECE,40.0,25.0,7.0
5282,-326,INDIA,23.0,71.0,7.03
3092,-227,GREECE,36.3,28.3,7.2
3471,-226,GREECE,38.6,23.3,7.03
3472,-223,GREECE,38.809,22.784000000000002,7.03
5382,-218,SPAIN,36.2,-7.17,7.03
4281,-210,PORTUGAL,36.0,-10.5,7.03
3473,-198,GREECE,36.404,25.396,7.03
4263,-60,PORTUGAL,36.0,-10.0,6.7
3714,-58,ALBANIA,41.3,19.5,6.6
3728,-50,GEORGIA,43.0,41.0,5.5
3794,-50,BULGARIA,43.5,28.5,7.03
22,-47,CHINA,37.5,119.5,7.03
21,46,GREECE,36.404,25.396,6.2
23,62,GREECE,35.2,25.1,6.9
26,76,CYPRUS,34.8,32.0,6.3
3093,79,ITALY,40.821,14.425999999999998,7.03
4396,115,TURKEY,36.1,36.1,7.5
3096,120,TURKEY,40.77,29.92,7.2
3583,123,SOUTH KOREA,35.8,129.2,6.3
27,142,GREECE,36.7,28.0,7.0
29,173,CHINA,37.5,120.0,7.03
3097,177,ITALY,38.0,15.0,7.03
3427,258,ITALY,41.9,12.45,7.03
31,262,TURKEY,36.6,30.0,7.03
32,315,DEAD SEA,31.7,35.5,7.03
35,344,TURKEY,40.3,26.5,7.03
3474,346,ALBANIA,41.4,19.4,6.8
36,348,TURKEY,33.9,35.5,4.1
2314,358,TURKEY,40.77,29.9,7.03
37,362,JORDAN,31.3,35.6,7.03
38,365,GREECE,35.0,23.0,8.0
3475,368,TURKEY,40.5,29.6,6.4
4273,382,PORTUGAL,36.0,-10.83,7.03
2315,407,TURKEY,41.0,29.0,6.6
39,416,INDONESIA,-6.102,105.42299999999999,7.03
41,447,TURKEY,40.9,28.5,7.3
4294,450,TURKEY,40.4,28.4,7.0
2317,478,TURKEY,40.8,29.2,7.03
43,543,TURKEY,40.3,27.8,6.8
46,551,GREECE,38.4,22.3,7.1
5586,551,GREECE,38.4,22.3,7.03
47,551,TURKEY,40.8,29.9,7.8
3477,552,GREECE,38.4,22.4,7.2
48,554,GREECE,36.8,27.3,7.0
3785,555,GREECE,41.0,29.5,7.03
2286,557,TURKEY,40.9,27.6,7.0
49,558,TURKEY,40.9,28.8,7.0
3765,558,GREECE,37.1,27.7,7.0
53,684,JAPAN,32.5,134.0,8.4
54,701,JAPAN,35.7,135.4,7.0
55,704,JAPAN,33.8,136.7,7.0
56,740,TURKEY,40.7,29.3,7.3
57,744,JAPAN,32.4,130.5,6.4
58,745,JAPAN,34.6,135.3,6.5
59,746,SYRIA,32.0,35.5,7.0
61,766,JAPAN,31.6,130.7,6.5
62,792,ITALY,45.5,11.0,7.03
3428,800,GREECE,36.2,23.2,7.03
64,803,TURKEY,36.95,35.6,7.03
66,818,JAPAN,35.2,139.3,7.9
67,842,UK,49.5,-2.5,7.03
69,850,JAPAN,39.0,139.9,7.0
71,859,TURKEY,36.08,36.25,7.03
72,863,JAPAN,37.1,138.0,7.0
74,869,JAPAN,38.5,143.8,8.6
4282,881,SPAIN,36.0,-8.0,7.03
76,887,JAPAN,37.5,138.1,6.5
77,887,JAPAN,33.0,135.3,8.6
5283,900,INDIA,10.46,79.53,7.03
79,922,JAPAN,33.8,136.7,7.0
3429,963,ITALY,38.0,15.0,7.03
81,975,TURKEY,41.04,28.98,7.03
3430,986,TURKEY,40.8,29.2,7.5
3562,1008,IRAN,27.665,52.348,6.5
83,1026,JAPAN,34.8,131.8,7.5
84,1033,SYRIA,33.0,35.0,7.03
87,1039,TURKEY,38.4,27.3,6.8
3102,1050,GREECE,36.404,25.396,7.03
90,1068,ISRAEL,29.5,34.95,7.03
91,1076,CHINA,23.0,117.0,7.03
5500,1088,JAPAN,39.64,141.96,7.03
93,1088,JAPAN,40.5,143.0,7.0
96,1096,JAPAN,34.0,137.5,8.4
2992,1099,JAPAN,33.0,135.5,8.4
97,1099,UK,50.11600000000001,-5.483,7.03
98,1106,ITALY,45.5,12.3,7.03
4201,1112,ITALY,40.85,14.25,7.03
3106,1114,ITALY,36.5,36.0,7.0
2852,1169,ITALY,37.3,15.03,7.0
3107,1169,ITALY,37.734,15.004000000000001,7.03
3108,1172,ITALY,38.0,15.0,7.03
100,1202,SYRIA,33.5,36.0,7.6
101,1222,CYPRUS ISLAND,34.5,33.0,6.6
3478,1231,TURKEY,41.0,28.6,6.9
104,1241,JAPAN,35.2,139.4,7.0
105,1257,JAPAN,39.0,144.0,7.5
106,1257,JAPAN,35.2,139.5,7.0
3109,1265,TURKEY,40.7,27.4,6.6
3479,1270,GREECE,41.3,19.5,7.03
108,1273,ALBANIA,41.3,19.7,6.5
110,1293,JAPAN,35.2,139.4,7.1
111,1303,GREECE,35.0,27.0,8.0
3111,1321,ITALY,45.4,12.3,7.03
