Entity,Latitude,Longitude,Code,Year,Percentage
Albania,41.153332,20.168331,ALB,1996,12.36
Albania,41.153332,20.168331,ALB,2002,16.61
Albania,41.153332,20.168331,ALB,2005,9.79
Albania,41.153332,20.168331,ALB,2008,6.11
Albania,41.153332,20.168331,ALB,2012,6.79
Angola,-11.202692,17.873887,AGO,2000,54.25
Angola,-11.202692,17.873887,AGO,2008,54.52
Argentina,-38.416097,-63.616672,ARG,1987,2.22
Argentina,-38.416097,-63.616672,ARG,1991,3.91
Argentina,-38.416097,-63.616672,ARG,1992,4.48
Argentina,-38.416097,-63.616672,ARG,1993,5.16
Argentina,-38.416097,-63.616672,ARG,1994,5.39
Argentina,-38.416097,-63.616672,ARG,1995,8.23
Argentina,-38.416097,-63.616672,ARG,1996,8.98
Argentina,-38.416097,-63.616672,ARG,1997,8.48
Argentina,-38.416097,-63.616672,ARG,1998,9.77
Argentina,-38.416097,-63.616672,ARG,1999,10.15
Argentina,-38.416097,-63.616672,ARG,2000,12.12
Argentina,-38.416097,-63.616672,ARG,2001,17.05
Argentina,-38.416097,-63.616672,ARG,2002,25.4
Argentina,-38.416097,-63.616672,ARG,2003,19.14
Argentina,-38.416097,-63.616672,ARG,2004,14.59
Argentina,-38.416097,-63.616672,ARG,2005,11.36
Argentina,-38.416097,-63.616672,ARG,2006,8.7
Argentina,-38.416097,-63.616672,ARG,2007,7.13
Argentina,-38.416097,-63.616672,ARG,2008,6.79
Argentina,-38.416097,-63.616672,ARG,2009,6.41
Argentina,-38.416097,-63.616672,ARG,2010,4.99
Argentina,-38.416097,-63.616672,ARG,2011,3.6
Argentina,-38.416097,-63.616672,ARG,2012,3.69
Argentina,-38.416097,-63.616672,ARG,2013,3.63
Argentina,-38.416097,-63.616672,ARG,2014,4.28
Armenia,40.069099,45.038189,ARM,1996,40.42
Armenia,40.069099,45.038189,ARM,1999,50.02
Armenia,40.069099,45.038189,ARM,2001,53.09
Armenia,40.069099,45.038189,ARM,2002,49.45
Armenia,40.069099,45.038189,ARM,2003,45.48
Armenia,40.069099,45.038189,ARM,2004,33.93
Armenia,40.069099,45.038189,ARM,2005,24.7
Armenia,40.069099,45.038189,ARM,2006,20.04
Armenia,40.069099,45.038189,ARM,2007,21.92
Armenia,40.069099,45.038189,ARM,2008,12.92
Armenia,40.069099,45.038189,ARM,2009,16.35
Armenia,40.069099,45.038189,ARM,2010,21.65
Armenia,40.069099,45.038189,ARM,2011,19.03
Armenia,40.069099,45.038189,ARM,2012,17.4
Armenia,40.069099,45.038189,ARM,2013,16.97
Armenia,40.069099,45.038189,ARM,2014,14.62
Azerbaijan,40.143105,47.576927,AZE,1995,24.78
Azerbaijan,40.143105,47.576927,AZE,2001,16.32
Azerbaijan,40.143105,47.576927,AZE,2002,0.24
Azerbaijan,40.143105,47.576927,AZE,2003,0.35
Azerbaijan,40.143105,47.576927,AZE,2008,2.51
Bangladesh,23.684994,90.356331,BGD,1983,81.23
Bangladesh,23.684994,90.356331,BGD,1985,76.79
Bangladesh,23.684994,90.356331,BGD,1988,81.52
Bangladesh,23.684994,90.356331,BGD,1991,82.37
Bangladesh,23.684994,90.356331,BGD,1995,73.17
Bangladesh,23.684994,90.356331,BGD,2000,70.06
Bangladesh,23.684994,90.356331,BGD,2005,62.96
Bangladesh,23.684994,90.356331,BGD,2010,56.8
Belarus,53.709807,27.953389,BLR,1988,0.64
Belarus,53.709807,27.953389,BLR,1993,2.7
Belarus,53.709807,27.953389,BLR,1995,2.62
Belarus,53.709807,27.953389,BLR,1998,36.14
Belarus,53.709807,27.953389,BLR,1999,31.61
Belarus,53.709807,27.953389,BLR,2000,25.51
Belarus,53.709807,27.953389,BLR,2001,13.95
Belarus,53.709807,27.953389,BLR,2002,10.01
Belarus,53.709807,27.953389,BLR,2003,8.29
Belarus,53.709807,27.953389,BLR,2004,3.83
Belarus,53.709807,27.953389,BLR,2005,2.22
Belarus,53.709807,27.953389,BLR,2006,0.9
Belarus,53.709807,27.953389,BLR,2007,0.93
Belarus,53.709807,27.953389,BLR,2008,0.47
Belarus,53.709807,27.953389,BLR,2009,0.54
Belarus,53.709807,27.953389,BLR,2010,0.17
Belarus,53.709807,27.953389,BLR,2011,0.04
Belarus,53.709807,27.953389,BLR,2012,0.07
Belize,17.189877,-88.49765,BLZ,1993,24.3
Belize,17.189877,-88.49765,BLZ,1994,24.36
Belize,17.189877,-88.49765,BLZ,1995,21.55
Belize,17.189877,-88.49765,BLZ,1996,28.56
Belize,17.189877,-88.49765,BLZ,1997,34.64
Belize,17.189877,-88.49765,BLZ,1998,32.64
Belize,17.189877,-88.49765,BLZ,1999,27.2
Benin,9.30769,2.315834,BEN,2003,77.22
Benin,9.30769,2.315834,BEN,2011,75.63
Bhutan,27.514162,90.433601,BTN,2003,60.9
Bhutan,27.514162,90.433601,BTN,2007,28.87
Bhutan,27.514162,90.433601,BTN,2012,13.33
Bolivia,-16.290154,-63.588653,BOL,1990,24.84
Bolivia,-16.290154,-63.588653,BOL,1992,35.91
Bolivia,-16.290154,-63.588653,BOL,1997,30.98
Bolivia,-16.290154,-63.588653,BOL,1999,37.43
Bolivia,-16.290154,-63.588653,BOL,2000,41.38
Bolivia,-16.290154,-63.588653,BOL,2001,35.77
Bolivia,-16.290154,-63.588653,BOL,2002,36.85
Bolivia,-16.290154,-63.588653,BOL,2004,27.98
Bolivia,-16.290154,-63.588653,BOL,2005,32.24
Bolivia,-16.290154,-63.588653,BOL,2006,29.24
Bolivia,-16.290154,-63.588653,BOL,2007,27.31
Bolivia,-16.290154,-63.588653,BOL,2008,20.73
Bolivia,-16.290154,-63.588653,BOL,2009,19.2
Bolivia,-16.290154,-63.588653,BOL,2011,14.63
Bolivia,-16.290154,-63.588653,BOL,2012,15.77
Bolivia,-16.290154,-63.588653,BOL,2013,13.35
Bolivia,-16.290154,-63.588653,BOL,2014,12.69
Bosnia and Herzegovina,43.915886,17.679076,BIH,2001,0.93
Bosnia and Herzegovina,43.915886,17.679076,BIH,2004,0.64
Bosnia and Herzegovina,43.915886,17.679076,BIH,2007,0.42
Bosnia and Herzegovina,43.915886,17.679076,BIH,2011,0.45
Botswana,-22.328474,24.684866,BWA,1985,62.52
Botswana,-22.328474,24.684866,BWA,1993,54.66
Botswana,-22.328474,24.684866,BWA,2002,49.04
Botswana,-22.328474,24.684866,BWA,2009,35.74
